Entity,Code,Year,Fossil fuels per capita (kWh),Nuclear per capita (kWh - equivalent),Renewables per capita (kWh - equivalent)
Philippines,PHL,2008,2974.240234375,0,624.2818603515625
Philippines,PHL,2009,2959.90380859375,0,597.6104736328125
Philippines,PHL,2010,3087.35888671875,0,514.7184448242188
Philippines,PHL,2011,3051.83642578125,0,561.7455444335938
Philippines,PHL,2012,3085.48828125,0,574.7579345703125
Philippines,PHL,2013,3313.05322265625,0,538.9332275390625
Philippines,PHL,2014,3458.62353515625,0,523.63818359375
Philippines,PHL,2015,3752.173095703125,0,542.8785400390625
Philippines,PHL,2016,4061.53564453125,0,559.6589965820312
Philippines,PHL,2017,4419.3271484375,0,581.3809814453125
Philippines,PHL,2018,4495.1982421875,0,573.853515625
Philippines,PHL,2019,4615.76025390625,0,532.2811279296875
Philippines,PHL,2020,4092.48828125,0,513.9885864257812
Philippines,PHL,2021,4319.78564453125,,534.9462280273438
Poland,POL,1965,24658.75390625,0,87.1294937133789
Poland,POL,1966,24917.2421875,0,87.56875610351562
Poland,POL,1967,25432.181640625,0,93.10778045654297
Poland,POL,1968,27161.9765625,0,97.10272216796875
Poland,POL,1969,28814.826171875,0,82.21823120117188
Poland,POL,1970,30101.66015625,0,166.21600341796875
Poland,POL,1971,30835.19921875,0,150.86257934570312
Poland,POL,1972,32276.869140625,0,151.8961181640625
Poland,POL,1973,32624.802734375,0,150.16458129882812
Poland,POL,1974,33374.0625,0,208.54193115234375
Poland,POL,1975,35728.15234375,0,193.04747009277344
Poland,POL,1976,37356.83984375,0,159.00318908691406
Poland,POL,1977,38580.7109375,0,191.85787963867188
Poland,POL,1978,40152.62890625,0,189.34471130371094
Poland,POL,1979,40391.1796875,0,173.5171661376953
Poland,POL,1980,41865.61328125,0,217.7178955078125
Poland,POL,1981,37384.421875,0,200.05856323242188
Poland,POL,1982,37757.55859375,0,149.671630859375
Poland,POL,1983,37566.3046875,0,167.1017608642578
Poland,POL,1984,38754.71875,0,142.8157196044922
Poland,POL,1985,39309.1015625,0,181.60377502441406
Poland,POL,1986,40204.07421875,0,154.04661560058594
Poland,POL,1987,41314.01171875,0,147.23008728027344
Poland,POL,1988,40355.69921875,0,148.60321044921875
Poland,POL,1989,38708.359375,0,134.45010375976562
Poland,POL,1990,31769.177734375,0,115.00533294677734
Poland,POL,1991,30976.736328125,0,117.60286712646484
Poland,POL,1992,29519.82421875,0,125.9377212524414
Poland,POL,1993,29431.15234375,0,119.96246337890625
Poland,POL,1994,28077.82421875,0,137.72694396972656
Poland,POL,1995,28678.234375,0,150.72454833984375
Poland,POL,1996,30065.572265625,0,159.29788208007812
Poland,POL,1997,29736.708984375,0,164.5889434814453
Poland,POL,1998,28437.19921875,0,195.5650177001953
Poland,POL,1999,27891.65234375,0,181.50448608398438
Poland,POL,2000,26210.1484375,0,180.19371032714844
Poland,POL,2001,26010.33984375,0,215.1288299560547
Poland,POL,2002,25757.888671875,0,212.87173461914062
Poland,POL,2003,26721.443359375,0,181.72219848632812
Poland,POL,2004,26873.71875,0,241.66378784179688
Poland,POL,2005,27424.775390625,0,314.9785461425781
Poland,POL,2006,28758.982421875,0,363.619384765625
Poland,POL,2007,28587.173828125,0,453.7188720703125
Poland,POL,2008,28894.310546875,0,652.2737426757812
Poland,POL,2009,27641.0703125,0,874.2281494140625
Poland,POL,2010,29373.99609375,0,1050.7742919921875
Poland,POL,2011,29396.892578125,0,1238.4613037109375
Poland,POL,2012,28243.78125,0,1558.1993408203125
Poland,POL,2013,28379.431640625,0,1547.384765625
Poland,POL,2014,27152.568359375,0,1750.3511962890625
Poland,POL,2015,27326.283203125,0,1918.927734375
Poland,POL,2016,28704.46484375,0,1848.6121826171875
Poland,POL,2017,29806.291015625,0,1967.0887451171875
Poland,POL,2018,30280.28515625,0,1881.7342529296875
Poland,POL,2019,29084.392578125,0,2185.545654296875
Poland,POL,2020,27639.392578125,0,2328.421630859375
Poland,POL,2021,30111.46484375,0,2533.824951171875
Portugal,PRT,1965,4221.76708984375,0,1400.861083984375
Portugal,PRT,1966,4346.9130859375,0,1842.3065185546875
Portugal,PRT,1967,4743.95849609375,0,1922.1146240234375
Portugal,PRT,1968,4987.25732421875,0,1849.552978515625
Portugal,PRT,1969,5179.630859375,0,2260.93310546875
Portugal,PRT,1970,6834.357421875,0,2052.41357421875
Portugal,PRT,1971,7580.4560546875,0,2149.552490234375
Portugal,PRT,1972,8045.54248046875,0,2425.040283203125
Portugal,PRT,1973,8916.2333984375,0,2503.20703125
Portugal,PRT,1974,9154.9248046875,0,2624.111572265625
Portugal,PRT,1975,9389.140625,0,2148.620361328125
Portugal,PRT,1976,9657.9296875,0,1600.606201171875
Portugal,PRT,1977,9384.5947265625,0,3203.9248046875
Portugal,PRT,1978,9665.3447265625,0,3424.049072265625
Portugal,PRT,1979,10209.16015625,0,3517.357666015625
Portugal,PRT,1980,10674.150390625,0,2535.27880859375
Portugal,PRT,1981,11264.603515625,0,1612.2713623046875
Portugal,PRT,1982,11677.583984375,0,2187.474365234375
Portugal,PRT,1983,11783.4052734375,0,2527.07861328125
Portugal,PRT,1984,11849.5126953125,0,3030.32861328125
Portugal,PRT,1985,11810.337890625,0,3360.499755859375
Portugal,PRT,1986,13330.6484375,0,2731.050537109375
Portugal,PRT,1987,13529.9765625,0,2927.65478515625
Portugal,PRT,1988,14423.8203125,0,3864.62109375
Portugal,PRT,1989,17809.357421875,0,1953.5999755859375
Portugal,PRT,1990,17096.244140625,0,2960.05078125
Portugal,PRT,1991,17811.150390625,0,2958.47314453125
Portugal,PRT,1992,19248.005859375,0,1666.0372314453125
Portugal,PRT,1993,18606.556640625,0,2817.49755859375
Portugal,PRT,1994,18643.66796875,0,3448.572265625
Portugal,PRT,1995,21326.880859375,0,2773.724365234375
Portugal,PRT,1996,20118.017578125,0,4629.31201171875
Portugal,PRT,1997,20844.447265625,0,4159.24365234375
Portugal,PRT,1998,23049.59765625,0,4119.9990234375
Portugal,PRT,1999,25158.82421875,0,2519.427978515625
Portugal,PRT,2000,24761.796875,0,3724.052001953125
Portugal,PRT,2001,24279.896484375,0,4503.73779296875
Portugal,PRT,2002,25670.5546875,0,2772.9443359375
Portugal,PRT,2003,24125.560546875,0,4961.3564453125
Portugal,PRT,2004,24979.166015625,0,3435.172119140625
Portugal,PRT,2005,25965.453125,0,2293.3779296875
Portugal,PRT,2006,23606.69921875,0,4354.2333984375
Portugal,PRT,2007,23560.6796875,0,4535.8037109375
Portugal,PRT,2008,22964.408203125,0,4099.27783203125
Portugal,PRT,2009,22133.904296875,0,5141.18115234375
Portugal,PRT,2010,20905.37109375,0,7887.212890625
Portugal,PRT,2011,20786.3515625,0,6749.35693359375
Portugal,PRT,2012,19769.56640625,0,5479.41943359375
Portugal,PRT,2013,19752.1640625,0,8109.27587890625
Portugal,PRT,2014,19917.57421875,0,8655.51171875
Portugal,PRT,2015,21217.994140625,0,6870.19580078125
Portugal,PRT,2016,21335.5546875,0,8831.97265625
Portugal,PRT,2017,23049.927734375,0,6291.2861328125
Portugal,PRT,2018,21930.318359375,0,8070.16162109375
Portugal,PRT,2019,21089.966796875,0,7565.5859375
Portugal,PRT,2020,17735.25,0,8240.5341796875
Portugal,PRT,2021,17584.908203125,,8545.7626953125
Qatar,QAT,1965,19164.251953125,0,0
Qatar,QAT,1966,17792.08203125,0,0
Qatar,QAT,1967,23585.44921875,0,0
Qatar,QAT,1968,69089.5859375,0,0
Qatar,QAT,1969,100303.7265625,0,0
Qatar,QAT,1970,105237.2421875,0,0
Qatar,QAT,1971,96147.390625,0,0
Qatar,QAT,1972,97321.4453125,0,0
Qatar,QAT,1973,126747,0,0
Qatar,QAT,1974,102276.8515625,0,0
Qatar,QAT,1975,142686.25,0,0
Qatar,QAT,1976,86694.03125,0,0
Qatar,QAT,1977,115090.6328125,0,0
Qatar,QAT,1978,104864.6796875,0,0
Qatar,QAT,1979,245482.15625,0,0
Qatar,QAT,1980,238660.8125,0,0
Qatar,QAT,1981,205897.203125,0,0
Qatar,QAT,1982,214021.671875,0,0
Qatar,QAT,1983,199982.390625,0,0
Qatar,QAT,1984,206317.046875,0,0
Qatar,QAT,1985,178248.890625,0,0
Qatar,QAT,1986,181201.65625,0,0
Qatar,QAT,1987,165468.28125,0,0
Qatar,QAT,1988,165775.203125,0,0
Qatar,QAT,1989,168394.078125,0,0
Qatar,QAT,1990,165529.703125,0,0
Qatar,QAT,1991,186338.515625,0,0
Qatar,QAT,1992,291250.65625,0,0
Qatar,QAT,1993,307675.71875,0,0
Qatar,QAT,1994,308704.21875,0,0
Qatar,QAT,1995,303811.875,0,0
Qatar,QAT,1996,219886.09375,0,0
Qatar,QAT,1997,234193.34375,0,0
Qatar,QAT,1998,244736.1875,0,0
